epoch,gen_loss,disc_loss,psnr,ssim,lpips,dists
213,0.021166468,0.010127246,10.52884,0.21390043,0.30792541,0.247922577
214,0.01610258,0.013779729,10.459197,0.21129268,0.310497128,0.258994772
215,0.020030148,0.002315909,10.503083,0.21272421,0.3104213,0.250725346
216,0.021545202,0.000270481,10.52616,0.21350878,0.309230772,0.251167877
217,0.044586875,1.49E-08,10.524594,0.21418844,0.308051303,0.252961095
218,0.023441048,0.06197394,10.592154,0.21720019,0.305663198,0.248871626
219,0.017544352,0.005449855,10.614545,0.21839552,0.306531029,0.242391635
220,0.016761966,0.015054587,10.634389,0.21884736,0.306315597,0.242878986
221,0.020816563,0.1718036,10.626051,0.21866661,0.306539743,0.241062396
222,0.02172823,0.016798804,10.601699,0.21738194,0.308773075,0.242531551
223,0.021159798,0.000373919,10.638889,0.21760042,0.309636283,0.244908695
224,0.016856289,0.017117722,10.66383,0.21832407,0.308284491,0.245184946
225,0.020476885,0.005573436,10.601277,0.21603447,0.3121431,0.246245705
226,0.019524585,0.003782924,10.666793,0.21975332,0.30822273,0.247843648
227,0.019882482,0.000283244,10.7193365,0.22477007,0.301766064,0.242679748
228,0.017933562,0.00361939,10.808745,0.22825457,0.297095915,0.236097849
229,0.009865786,3.2410886,10.577715,0.2202259,0.30531694,0.259843979
230,0.021409161,0.011863605,10.681444,0.22430305,0.302957601,0.246241775
231,0.06128836,0.000665425,10.787659,0.22771038,0.297562113,0.238666113
232,0.019545488,0.016291939,10.835948,0.22986652,0.295991475,0.236570373
233,0.0453268,8.83E-05,10.869486,0.23036185,0.297194913,0.237037497
234,0.036460236,0.02452161,10.866799,0.23019181,0.296889233,0.237306039
235,0.011917898,0.046371512,10.868647,0.23067741,0.294916668,0.237457244
236,0.018414184,0.13671388,10.951509,0.23676565,0.28971271,0.235403503
237,0.028471062,5.32E-07,10.87258,0.2346131,0.291611725,0.242033296
238,0.027311055,2.31E-06,10.921217,0.23526269,0.29072706,0.23702148
239,0.023720259,9.68E-06,10.962047,0.23730186,0.288529679,0.233520878
240,0.021851528,0.000431794,11.012006,0.24174696,0.28735995,0.23469063
241,0.022625245,0.000468426,10.983614,0.23982733,0.288394042,0.236301024
242,0.018545955,0.000376496,10.9713125,0.24025412,0.289501389,0.238341837
